hour_start_utc,temp,rad,dewpoint,rh
2026-04-01 00:00,2.9,1,-2.6,67.5
2026-04-01 01:00,2.6,1,-2.8,67.4
2026-04-01 02:00,2.8,1,-3.3,64.1
2026-04-01 03:00,2.8,1,-3.8,61.9
2026-04-01 04:00,2.9,1,-3.5,63.1
2026-04-01 05:00,3,29,-3.4,62.7
2026-04-01 06:00,3.5,167,-2.9,63
2026-04-01 07:00,4.9,368,-2.3,59.6
2026-04-01 08:00,5.9,543,-2,56.8
2026-04-01 09:00,7,689,-1.7,53.9
2026-04-01 10:00,7.8,785,-2,50.1
2026-04-01 11:00,8.8,782,-2.2,46
2026-04-01 12:00,9.2,713,-3.6,40.2
2026-04-01 13:00,9.4,691,-4.7,36.7
2026-04-01 14:00,9.3,573,-5.2,35.6
2026-04-01 15:00,9.1,436,-4.4,38
2026-04-01 16:00,8.5,221,-4.5,39.6
2026-04-01 17:00,7.4,54,-4.7,42
2026-04-01 18:00,6.1,2,-4,48.4
2026-04-01 19:00,5.5,1,-3.5,52.3
2026-04-01 20:00,5,1,-3.7,53.5
2026-04-01 21:00,4.9,1,-3.2,55.6
2026-04-01 22:00,4.2,1,-2.9,60.1
2026-04-01 23:00,4.1,1,-2.5,62.3
2026-04-02 00:00,3.8,1,-2.8,62
2026-04-02 01:00,3,1,-2.6,66.7
2026-04-02 02:00,3.6,1,-2.7,63.6
2026-04-02 03:00,3.3,1,-2.3,67.2
2026-04-02 04:00,2.9,1,-2,70.3
2026-04-02 05:00,2.7,22,-1.6,73.6
2026-04-02 06:00,3.2,172,-1.3,72.2
2026-04-02 07:00,4.3,375,-1.4,66.5
2026-04-02 08:00,6.4,614,-1.5,57.2
2026-04-02 09:00,7.3,702,-1.8,52.3
2026-04-02 10:00,8.6,781,-1.7,48.4
2026-04-02 11:00,10,808,-1.1,46
2026-04-02 12:00,10.8,755,-0.6,45.1
2026-04-02 13:00,11.5,708,-0.8,42.6
2026-04-02 14:00,11.9,579,-1.1,40.6
2026-04-02 15:00,11.7,400,-1.1,40.9
2026-04-02 16:00,11.5,223,-0.9,42.1
2026-04-02 17:00,10.6,56,-0.9,44.7
2026-04-02 18:00,9,2,-0.7,50.6
2026-04-02 19:00,8.1,1,-1,53
2026-04-02 20:00,7.7,1,-1.1,53.6
2026-04-02 21:00,7,1,-1.2,56
2026-04-02 22:00,6.6,1,-1.4,56.8
2026-04-02 23:00,6.7,1,-1.4,56.3
2026-04-03 00:00,6.4,1,-1.5,57
2026-04-03 01:00,6.4,1,-1.6,56.8
2026-04-03 02:00,5.4,1,-1.7,60
2026-04-03 03:00,5.7,1,-1.7,59.1
2026-04-03 04:00,4.8,1,-0.7,67.6
2026-04-03 05:00,4.1,26,-1.1,68.6
2026-04-03 06:00,5.8,177,-0.7,63.1
2026-04-03 07:00,7.3,371,-1.1,55.2
2026-04-03 08:00,7.7,539,-0.9,54.8
2026-04-03 09:00,8.9,686,-0.2,52.9
2026-04-03 10:00,8.9,784,0.6,56.1
2026-04-03 11:00,10.1,809,0,49.7
2026-04-03 12:00,11.9,779,-1.4,39.8
2026-04-03 13:00,12.4,704,-2.4,35.5
2026-04-03 14:00,13.3,593,-2,34.6
2026-04-03 15:00,13.8,422,-2.6,32.1
2026-04-03 16:00,13.2,203,-1.6,36.3
2026-04-03 17:00,12.7,36,-0.7,39.7
2026-04-03 18:00,11.9,2,1.1,47.9
2026-04-03 19:00,10.9,1,2.4,55.5
2026-04-03 20:00,10.6,1,1.3,52.7
2026-04-03 21:00,10.2,1,1.6,55.1
2026-04-03 22:00,9.8,1,1.7,57.1
2026-04-03 23:00,9.9,1,1.8,57
2026-04-04 00:00,9.9,1,1.9,57.3
2026-04-04 01:00,9.7,1,1.9,58.3
2026-04-04 02:00,9.9,1,1.6,56.3
2026-04-04 03:00,9.8,1,1.8,57.7
2026-04-04 04:00,9.3,1,2.7,63.1
2026-04-04 05:00,9.5,23,2.3,60.8
2026-04-04 06:00,9.6,94,3.3,64.8
2026-04-04 07:00,10.8,181,2,54.4
2026-04-04 08:00,11.6,371,1.6,50.1
2026-04-04 09:00,11.4,403,1.8,51.6
2026-04-04 10:00,12.8,776,2.6,49.7
2026-04-04 11:00,13.2,784,2,46.5
2026-04-04 12:00,14.5,763,1,39.9
2026-04-04 13:00,15.7,689,2.2,40.1
2026-04-04 14:00,16.6,576,4,43.1
2026-04-04 15:00,16.8,416,4.2,42.9
2026-04-04 16:00,16.6,217,4.6,45.1
2026-04-04 17:00,15.7,54,4.9,48.6
2026-04-04 18:00,14.5,3,4.8,52.3
2026-04-04 19:00,13.4,1,4.4,54.3
2026-04-04 20:00,12.8,1,3.9,54.6
2026-04-04 21:00,12.2,1,3.5,55.3
2026-04-04 22:00,11.6,1,3.5,57.7
2026-04-04 23:00,11.4,1,3.6,58.4
2026-04-05 00:00,10.7,1,3.5,61.4
2026-04-05 01:00,10.1,1,3.7,64.3
2026-04-05 02:00,10.4,1,3.5,62.1
2026-04-05 03:00,9.6,1,3.4,65.2
2026-04-05 04:00,9,1,3.6,68.8
2026-04-05 05:00,9.4,30,3.7,67.3
2026-04-05 06:00,11.4,185,3.7,58.9
2026-04-05 07:00,12.3,372,4.6,59.2
2026-04-05 08:00,13.3,535,4.5,55.1
2026-04-05 09:00,14.7,676,3.6,47.5
2026-04-05 10:00,16.1,772,3.9,44.2
2026-04-05 11:00,17.4,790,4.7,43.1
2026-04-05 12:00,18,769,4.6,41.1
2026-04-05 13:00,19,709,5.1,40
2026-04-05 14:00,19.6,529,5.4,39.1
2026-04-05 15:00,20.6,339,5.2,36.5
2026-04-05 16:00,21.2,241,4.6,33.8
2026-04-05 17:00,20.3,46,4.5,35.3
2026-04-05 18:00,18.7,3,4.7,39.7
2026-04-05 19:00,17.1,1,6.6,50
2026-04-05 20:00,16.7,1,5.8,48.8
2026-04-05 21:00,16,1,5.6,50.1
2026-04-05 22:00,16,1,4.4,46.3
2026-04-05 23:00,14.6,1,3.9,48.8
2026-04-06 00:00,14,1,4.3,52
2026-04-06 01:00,13.7,1,5.1,56.4
2026-04-06 02:00,13.2,1,5.3,58.5
2026-04-06 03:00,12.6,1,4.9,59.8
2026-04-06 04:00,11.8,1,4.9,62.7
2026-04-06 05:00,11.8,30,4.8,62.2
2026-04-06 06:00,13.1,181,5.5,60.2
2026-04-06 07:00,13.4,376,6.5,62.7
2026-04-06 08:00,14.2,543,6.5,59.6
2026-04-06 09:00,15.1,683,6.6,56.7
2026-04-06 10:00,16,778,6.9,54.6
2026-04-06 11:00,17.2,806,6.3,48.6
2026-04-06 12:00,18.1,785,5.7,44.1
2026-04-06 13:00,18.5,736,5.5,42.3
2026-04-06 14:00,18.7,485,5.8,42.7
2026-04-06 15:00,19.8,444,5.5,39.3
2026-04-06 16:00,20,226,5,37.3
2026-04-06 17:00,19.7,65,5.3,38.8
2026-04-06 18:00,18.1,4,6.2,45.6
2026-04-06 19:00,17.4,1,7.2,51.1
2026-04-06 20:00,16,2,7.4,56.7
2026-04-06 21:00,15.1,1,7.2,59
2026-04-06 22:00,14.4,1,7.1,61.5
2026-04-06 23:00,13.4,1,6.7,63.8
2026-04-07 00:00,12.9,1,5.3,59.8
2026-04-07 01:00,12.4,1,4.6,58.9
2026-04-07 02:00,11.8,1,5,63.2
2026-04-07 03:00,11.1,1,5.3,67.7
2026-04-07 04:00,10.8,1,4.5,65.2
